category,city,company_name,job_title,job_type,post_date,salary_offered,lat,lng,state
Retail & Consumer Products,Sydney,Frontline Executive Retail Sydney,Store Manager - Fresh Produce,Full Time,2018-04-15,$100k Base + Super + Benefits,-33.865,151.2094,New South Wales
Government & Defence,Brisbane,Powerlink,Client Solution Analyst,Full Time,2018-04-15,Excellent remuneration packages,-27.4678,153.0281,Queensland
Trades & Services,Sydney,Richard Jay Laundry,Service Technician / Installer - NSW,Full Time,2018-04-15,,-33.865,151.2094,New South Wales
Trades & Services,Melbourne,Adaptalift Hyster,Workshop Technician I Material Handling Equipment,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Trades & Services,Adelaide,Bakers Delight G&M,APPRENTICESHIP JUNIOR BAKER,Full Time,2018-04-16,,-34.9289,138.6011,South Australia
"Manufacturing, Transport & Logistics",Melbourne,Australian Red Cross Blood Service - H/O,Quality Management Systems Associate,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Sales,Sydney,DuluxGroup,Yates - National Account Manager Grocery - Padstow NSW,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Community Services & Development,Brisbane,Mercy Community,Family Support Worker-Aboriginal &Torres Strait Islander ,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Healthcare & Medical,Melbourne,Austin Health,Allied Health Assistant â€“ Physiotherapy,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Information & Communication Technology,Sydney,M&T Resources,IT Systems Administrator,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
"Mining, Resources & Energy",Brisbane,Complete Belting Solutions,Operations Co-Ordinator,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Construction,Melbourne,Stockdale Personnel,Yard Person X 3 - Immediate Start $$$$,Contract/Temp,2018-04-16,,-37.8136,144.9631,Victoria
Design & Architecture,Brisbane,Employment Office,"Draftsperson - Oxworks - Crestmead, Brisbane",Full Time,2018-04-16,"$60,000 - $70,000 (negotiable) plus super!",-27.4678,153.0281,Queensland
Trades & Services,Sydney,Design & Construct,Project Manger,Full Time,2018-04-16,$110k - $120k p.a. + Super+Car allowance,-33.865,151.2094,New South Wales
Trades & Services,Melbourne,Private Advertiser,Electronic Security Technical Install Manager,Full Time,2018-04-16,"$90,000 - $109,999",-37.8136,144.9631,Victoria
Marketing & Communications,Sydney,Squirel Limited,Digital Content Coordinator,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Trades & Services,Brisbane,idec solutions pty ltd,Boilermaker / Fabricator,Casual/Vacation,2018-04-16,,-27.4678,153.0281,Queensland
Administration & Office Support,Newcastle,Programmed Skilled Workforce,Analytic Support Role ,Contract/Temp,2018-04-16,,-32.9167,151.75,New South Wales
"Manufacturing, Transport & Logistics",Melbourne,Victorian Refrigeration,Labourer,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Banking & Financial Services,Sydney,Ford Peterson,Senior Financial Planner,Full Time,2018-04-16,$130k + super + bonus,-33.865,151.2094,New South Wales
Marketing & Communications,Gold Coast,AAC ID Solutions,Marketing Coordinator,Full Time,2018-04-16,,-28.0167,153.4,Queensland
Information & Communication Technology,Melbourne,Talent â€“ Winner â€˜Seek Large Recruitment Agency of the Yearâ€™ 3 consecutive years!,Business Development Manager,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Healthcare & Medical,Rockhampton,Star Pharmacy Group,Pharmacist Internship,Full Time,2018-04-16,,-23.375,150.5117,Queensland
Trades & Services,Wollongong,Programmed Industrial Maintenance,Leading Hand Plumber,Full Time,2018-04-16,,-34.4331,150.8831,New South Wales
"Manufacturing, Transport & Logistics",Newcastle,Programmed Skilled Workforce,Front-End Loader Operator NEEDED!,Contract/Temp,2018-04-16,,-32.9167,151.75,New South Wales
Marketing & Communications,Sydney,ModelCo,Social Media Specialist,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
"Manufacturing, Transport & Logistics",Sydney,HOBAN Recruitment,Box Pickers - Erskine Park location,Contract/Temp,2018-04-16,,-33.865,151.2094,New South Wales
Engineering,Sydney,MPM Recruitment Services Pty Ltd,Mechanical Fitters,Contract/Temp,2018-04-16,,-33.865,151.2094,New South Wales
Retail & Consumer Products,Adelaide,CPM Australia,Microsoft Brand Ambassador,Casual/Vacation,2018-04-16,,-34.9289,138.6011,South Australia
Education & Training,Cairns,Petit Early Learning Journey - Port Douglas,****Inspiring Lead Educator****,Part Time,2018-04-16,,-16.9303,145.7703,Queensland
Trades & Services,Newcastle,LAMBTON AUTOMOTIVE,MOTOR MECHANIC,Full Time,2018-04-16,"$50,000 - $59,999",-32.9167,151.75,New South Wales
Trades & Services,Sydney,Programmed Skilled Workforce,Mechanical Fitter $42.35 + 30% shift,Contract/Temp,2018-04-16,$42.35 + 30% shift,-33.865,151.2094,New South Wales
"Manufacturing, Transport & Logistics",Brisbane,Bull Motor Bodies,Coach Builder,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Construction,Perth,Advocate Consulting,Projects Manager,Full Time,2018-04-16,,-31.9522,115.8589,Western Australia
Information & Communication Technology,Melbourne,Private Advertiser,Junior Helpdesk Developer,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
"Mining, Resources & Energy",Perth,Energy Resourcing Australia,Marine Crew - Master position,Full Time,2018-04-16,,-31.9522,115.8589,Western Australia
Accounting,Sydney,Hays Accountancy & Finance,Insolvency Intermediate/Senior,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Human Resources & Recruitment,Brisbane,Quality Assured Recruitment,Recruitment Consultant,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Education & Training,Newcastle,Tradewind Recruitment Ltd,Secondary Teachers required for the UK - Interviews to be Conducted in Australia,Full Time,2018-04-16,,-32.9167,151.75,New South Wales
Accounting,Sydney,EML,Asset & Contracts Manager,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Healthcare & Medical,Sydney,Qualitas Australia Pty Ltd,Medica Receptionist,Casual/Vacation,2018-04-16,,-33.865,151.2094,New South Wales
Trades & Services,Melbourne,Rentokil Initial,Cleaner Driver - Tullamarine,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Trades & Services,Sydney,Trivett Classic P/L,First Year Apprentice Technician - North Shore,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Sales,Perth,Robert Half,Recruitment Consultant ,Full Time,2018-04-16,$50k - $80k p.a. + great commission ,-31.9522,115.8589,Western Australia
Engineering,Sydney,Ivory Group,Senior Project Engineer,Full Time,2018-04-16,"$110,000 - $140,000 Package",-33.865,151.2094,New South Wales
Information & Communication Technology,Melbourne,Catholic Education Melbourne,"Functional Consultant, Integration",Full Time,2018-04-16,"Depending on experience, skills and qualifications",-37.8136,144.9631,Victoria
Construction,Sydney,Private Advertiser,Workplace Health and Safety Officer,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Trades & Services,Brisbane,5 Star Recruitment (VIC) Pty Ltd,Scaffolders needed for residential sites,Casual/Vacation,2018-04-16,,-27.4678,153.0281,Queensland
Community Services & Development,Bunbury,MAX Solutions,Contract Assessors for the National Panel of Assessors,Casual/Vacation,2018-04-16,,-33.3333,115.6333,Western Australia
Engineering,Wollongong,BlueScope Steel Limited,"Operations Engineer, Wollongong NSW",Casual/Vacation,2018-04-16,,-34.4331,150.8831,New South Wales
Education & Training,Sydney,Eikoh Seminar Australia,ECT/Diploma Trained Educator Full time or Part time,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Community Services & Development,Melbourne,Australian Red Cross,Aboriginal and Torres Strait Islander Project Lead,Part Time,2018-04-16,,-37.8136,144.9631,Victoria
Trades & Services,Melbourne,Sitetech Solutions Pty Ltd,Labourer & MR Driver,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Administration & Office Support,Newcastle,13CABS Sydney,Client Services Officer,Full Time,2018-04-16,Permanent role!,-32.9167,151.75,New South Wales
Sport & Recreation,Sydney,Result Based Training,Personal Trainer / Coach - Chatswood,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Government & Defence,Hobart,Department of Health,"Department of Health â€“ Compliance â€“ Various - APS 3, 4, 5, & 6",Full Time,2018-04-16,,-42.8806,147.325,Tasmania
Call Centre & Customer Service,Adelaide,Goodlife Healthclubs,Customer Service Manager - Goodlife Glenelg,Full Time,2018-04-16,,-34.9289,138.6011,South Australia
Sales,Melbourne,Pickles Auctions P/L,Account Manager/Auctioneer - Finance,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Legal,Sydney,Intelink Pty Ltd,Commercial Litigation Lawyer 4-6 PQE,Full Time,2018-04-16,Call Briony of Cicero on 0415 545 472,-33.865,151.2094,New South Wales
Government & Defence,Melbourne,CSIRO,IT Directory Services & Email Support Analyst,Full Time,2018-04-16,"$60,000 - $79,999",-37.8136,144.9631,Victoria
Real Estate & Property,Canberra,Private Advertiser,EXPERIENCED PROPERTY MANAGER,Full Time,2018-04-16,,-35.2931,149.1269,Australian Capital Territory
Trades & Services,Melbourne,5 Star Recruitment (VIC) Pty Ltd,Welder Fabricators,Contract/Temp,2018-04-16,,-37.8136,144.9631,Victoria
Information & Communication Technology,Melbourne,FIS,Senior Treasury Consultant ,Full Time,2018-04-16,Negotiable,-37.8136,144.9631,Victoria
Healthcare & Medical,Brisbane,Healthcare Australia NT,Registered Nurses ED - QLD & WA,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Trades & Services,Brisbane,Workforce International Pty Ltd,Civil Labourer REQUIRED ,Casual/Vacation,2018-04-16,,-27.4678,153.0281,Queensland
Engineering,Sydney,End2End Business Solutions,Project Managment & Regulatory Compliance Electrical Engineer White Goods,Full Time,2018-04-16,"$65,000 - $69,999",-33.865,151.2094,New South Wales
Trades & Services,Perth,Casver Import PTy LTd,Installer commercial windows,Contract/Temp,2018-04-16,,-31.9522,115.8589,Western Australia
Sales,Sydney,Healthcare Imaging Services,Medical Liaison Officer - NSW Metro,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Hospitality & Tourism,Sydney,CAMPUS LIVING VILLAGES PTY LTD,Village Manager,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
